//==================================================
// for_dun01.rsw#被遺忘的時間的水晶(1區域)
//==================================================
// 無法瞬移
for_dun01	mapflag	noteleport
for_dun01,0,0,0,0	monster	藍色地精靈	22192,12,5000,0,0
for_dun01,0,0,0,0	monster	藍焰火精靈	22196,12,5000,0,0
for_dun01,0,0,0,0	monster	強風風精靈	22200,12,5000,0,0
for_dun01,0,0,0,0	monster	冰冷水精靈	22204,12,5000,0,0
for_dun01,0,0,0,0	monster	藍色地精靈泰拉	22193,16,5000,0,0
for_dun01,0,0,0,0	monster	藍焰火精靈阿格尼	22197,16,5000,0,0
for_dun01,0,0,0,0	monster	強風風精靈梵圖斯	22201,16,5000,0,0
for_dun01,0,0,0,0	monster	冰冷水精靈阿庫亞	22205,16,5000,0,0

for_dun01,0,0,0,0	monster	藍色巨大地精靈泰拉	22194,18,5000,0,0
for_dun01,0,0,0,0	monster	藍色變異地精靈泰拉	22195,4,5000,0,0
for_dun01,0,0,0,0	monster	藍焰巨大火精靈阿格尼	22198,18,5000,0,0
for_dun01,0,0,0,0	monster	藍焰變異火精靈阿格尼	22199,4,5000,0,0
for_dun01,0,0,0,0	monster	強風巨大風精靈梵圖斯	22202,18,5000,0,0
for_dun01,0,0,0,0	monster	強風變異風精靈梵圖斯	22203,4,5000,0,0
for_dun01,0,0,0,0	monster	冰冷巨大水精靈阿庫亞	22206,18,5000,0,0
for_dun01,0,0,0,0	monster	冰冷變異水精靈阿庫亞	22207,4,5000,0,0

for_dun01,0,0,0,0	monster	汙染地精靈	22208,6,5000,0,0
for_dun01,0,0,0,0	monster	汙染火精靈	22212,6,5000,0,0
for_dun01,0,0,0,0	monster	汙染地精靈泰拉	22209,6,5000,0,0
for_dun01,0,0,0,0	monster	汙染火精靈阿格尼	22213,6,5000,0,0
for_dun01,0,0,0,0	monster	汙染巨大地精靈泰拉	22210,6,5000,0,0
for_dun01,0,0,0,0	monster	汙染變異地精靈泰拉	22211,6,5000,0,0
for_dun01,0,0,0,0	monster	汙染巨大火精靈阿格尼	22214,6,5000,0,0
for_dun01,0,0,0,0	monster	汙染變異火精靈阿格尼	22215,6,5000,0,0

for_dun01,0,0,0,0	monster	灼熱水精靈	22216,12,5000,0,0
for_dun01,0,0,0,0	monster	乾凅風精靈	22220,12,5000,0,0
for_dun01,0,0,0,0	monster	炙熱火精靈	22224,12,5000,0,0
for_dun01,0,0,0,0	monster	堅定地精靈	22228,12,5000,0,0
for_dun01,0,0,0,0	monster	灼熱水精靈阿庫亞	22217,14,5000,0,0
for_dun01,0,0,0,0	monster	乾凅風精靈梵圖斯	22221,14,5000,0,0
for_dun01,0,0,0,0	monster	炙熱火精靈阿格尼	22225,14,5000,0,0
for_dun01,0,0,0,0	monster	堅定地精靈泰拉	22229,14,5000,0,0

for_dun01,0,0,0,0	monster	灼熱巨大水精靈阿庫亞	22218,16,5000,0,0
for_dun01,0,0,0,0	monster	灼熱變異水精靈阿庫亞	22219,3,5000,0,0
for_dun01,0,0,0,0	monster	乾凅巨大風精靈梵圖斯	22222,16,5000,0,0
for_dun01,0,0,0,0	monster	乾凅變異風精靈梵圖斯	22223,3,5000,0,0
for_dun01,0,0,0,0	monster	炙熱巨大火精靈阿格尼	22226,16,5000,0,0
for_dun01,0,0,0,0	monster	炙熱變異火精靈阿格尼	22227,3,5000,0,0
for_dun01,0,0,0,0	monster	藍色巨大地精靈泰拉	22230,16,5000,0,0
for_dun01,0,0,0,0	monster	藍色變異地精靈泰拉	22231,3,5000,0,0

for_dun01,0,0,0,0	monster	汙染水精靈	22232,6,5000,0,0
for_dun01,0,0,0,0	monster	汙染風精靈	22236,6,5000,0,0
for_dun01,0,0,0,0	monster	汙染水精靈阿庫亞	22233,6,5000,0,0
for_dun01,0,0,0,0	monster	汙染風精靈梵圖斯	22237,6,5000,0,0
for_dun01,0,0,0,0	monster	汙染巨大水精靈阿庫亞	22234,6,5000,0,0
for_dun01,0,0,0,0	monster	汙染變異水精靈阿庫亞	22235,6,5000,0,0
for_dun01,0,0,0,0	monster	汙染巨大風精靈梵圖斯	22238,6,5000,0,0
for_dun01,0,0,0,0	monster	汙染變異風精靈梵圖斯	22239,6,5000,0,0


//==================================================
// for_dun02.rsw#被遺忘的時間的水晶(2區域)
//==================================================
// 無法瞬移
for_dun02	mapflag	noteleport
for_dun02,0,0,0,0	monster	灼熱水精靈	22216,24,5000,0,0
for_dun02,0,0,0,0	monster	乾凅風精靈	22220,24,5000,0,0
for_dun02,0,0,0,0	monster	炙熱火精靈	22224,24,5000,0,0
for_dun02,0,0,0,0	monster	堅定地精靈	22228,24,5000,0,0
for_dun02,0,0,0,0	monster	灼熱水精靈阿庫亞	22217,28,5000,0,0
for_dun02,0,0,0,0	monster	乾凅風精靈梵圖斯	22221,28,5000,0,0
for_dun02,0,0,0,0	monster	炙熱火精靈阿格尼	22225,28,5000,0,0
for_dun02,0,0,0,0	monster	堅定地精靈泰拉	22229,28,5000,0,0

for_dun02,0,0,0,0	monster	灼熱巨大水精靈阿庫亞	22218,32,5000,0,0
for_dun02,0,0,0,0	monster	灼熱變異水精靈阿庫亞	22219,7,5000,0,0
for_dun02,0,0,0,0	monster	乾凅巨大風精靈梵圖斯	22222,32,5000,0,0
for_dun02,0,0,0,0	monster	乾凅變異風精靈梵圖斯	22223,7,5000,0,0
for_dun02,0,0,0,0	monster	炙熱巨大火精靈阿格尼	22226,32,5000,0,0
for_dun02,0,0,0,0	monster	炙熱變異火精靈阿格尼	22227,7,5000,0,0
for_dun02,0,0,0,0	monster	藍色巨大地精靈泰拉	22230,32,5000,0,0
for_dun02,0,0,0,0	monster	藍色變異地精靈泰拉	22231,7,5000,0,0

for_dun02,0,0,0,0	monster	汙染水精靈	22232,12,5000,0,0
for_dun02,0,0,0,0	monster	汙染風精靈	22236,12,5000,0,0
for_dun02,0,0,0,0	monster	汙染水精靈阿庫亞	22233,12,5000,0,0
for_dun02,0,0,0,0	monster	汙染風精靈梵圖斯	22237,12,5000,0,0
for_dun02,0,0,0,0	monster	汙染巨大水精靈阿庫亞	22234,12,5000,0,0
for_dun02,0,0,0,0	monster	汙染變異水精靈阿庫亞	22235,12,5000,0,0
for_dun02,0,0,0,0	monster	汙染巨大風精靈梵圖斯	22238,12,5000,0,0
for_dun02,0,0,0,0	monster	汙染變異風精靈梵圖斯	22239,12,5000,0,0


for_dun02,0,0,0,0	monster	藍色地精靈	22192,6,5000,0,0
for_dun02,0,0,0,0	monster	藍焰火精靈	22196,6,5000,0,0
for_dun02,0,0,0,0	monster	強風風精靈	22200,6,5000,0,0
for_dun02,0,0,0,0	monster	冰冷水精靈	22204,6,5000,0,0
for_dun02,0,0,0,0	monster	藍色地精靈泰拉	22193,8,5000,0,0
for_dun02,0,0,0,0	monster	藍焰火精靈阿格尼	22197,8,5000,0,0
for_dun02,0,0,0,0	monster	強風風精靈梵圖斯	22201,8,5000,0,0
for_dun02,0,0,0,0	monster	冰冷水精靈阿庫亞	22205,8,5000,0,0

for_dun02,0,0,0,0	monster	藍色巨大地精靈泰拉	22194,9,5000,0,0
for_dun02,0,0,0,0	monster	藍色變異地精靈泰拉	22195,4,5000,0,0
for_dun02,0,0,0,0	monster	藍焰巨大火精靈阿格尼	22198,9,5000,0,0
for_dun02,0,0,0,0	monster	藍焰變異火精靈阿格尼	22199,4,5000,0,0
for_dun02,0,0,0,0	monster	強風巨大風精靈梵圖斯	22202,9,5000,0,0
for_dun02,0,0,0,0	monster	強風變異風精靈梵圖斯	22203,4,5000,0,0
for_dun02,0,0,0,0	monster	冰冷巨大水精靈阿庫亞	22206,9,5000,0,0
for_dun02,0,0,0,0	monster	冰冷變異水精靈阿庫亞	22207,4,5000,0,0

for_dun02,0,0,0,0	monster	汙染地精靈	22208,3,5000,0,0
for_dun02,0,0,0,0	monster	汙染火精靈	22212,3,5000,0,0
for_dun02,0,0,0,0	monster	汙染地精靈泰拉	22209,3,5000,0,0
