
//----------------- 測試魔物GVG 人形
//pvp_y_7-2,127,162,0,0	monster	"--ja--"	21070,1,0,0,0
//pvp_y_7-2,133,142,0,0	monster	"--ja--"	21070,1,0,0,0

//----------------- 測試魔物體型
//bago_01,46,124,0,0	monster	"--ja--"	21064,1,0,0,0
//bago_01,46,117,0,0	monster	"--ja--"	21065,1,0,0,0
//bago_01,46,110,0,0	monster	"--ja--"	21066,1,0,0,0

//----------------- 測試魔物種族 29
bago_01,54,65,0,0	monster	"--ja--"	21067,1,0,0,0
bago_01,54,58,0,0	monster	"--ja--"	21068,1,0,0,0
bago_01,54,51,0,0	monster	"--ja--"	21069,1,0,0,0
bago_01,54,44,0,0	monster	"--ja--"	21070,1,0,0,0
bago_01,54,37,0,0	monster	"--ja--"	21071,1,0,0,0

bago_01,59,65,0,0	monster	"--ja--"	21072,1,0,0,0
bago_01,59,58,0,0	monster	"--ja--"	21073,1,0,0,0
bago_01,59,51,0,0	monster	"--ja--"	21074,1,0,0,0
bago_01,59,44,0,0	monster	"--ja--"	21075,1,0,0,0
bago_01,59,37,0,0	monster	"--ja--"	21076,1,0,0,0

//----------------- 測試魔物屬性
bago_01,64,65,0,0	monster	"--ja--"	21077,1,0,0,0
bago_01,64,58,0,0	monster	"--ja--"	21078,1,0,0,0
bago_01,64,51,0,0	monster	"--ja--"	21079,1,0,0,0
bago_01,64,44,0,0	monster	"--ja--"	21080,1,0,0,0
bago_01,64,37,0,0	monster	"--ja--"	21081,1,0,0,0

bago_01,69,65,0,0	monster	"--ja--"	21082,1,0,0,0
bago_01,69,58,0,0	monster	"--ja--"	21083,1,0,0,0
bago_01,69,51,0,0	monster	"--ja--"	21084,1,0,0,0
bago_01,69,44,0,0	monster	"--ja--"	21085,1,0,0,0
bago_01,69,37,0,0	monster	"--ja--"	21086,1,0,0,0

//----------------- 測試魔物GVG 人形
//bago_01,97,100,0,0	monster	"--ja--"	21070,1,0,0,0
//bago_01,46,100,0,0	monster	"--ja--"	21070,1,0,0,0

//----------------- 測試魔物城戰
//bago_01,46,91,0,0	monster	"--ja--"	1906,1,0,0,0
//bago_01,97,91,0,0	monster	"--ja--"	1288,1,0,0,0


//----------------- 測試魔物pvp 人形
//pvp_y_8-2,127,162,0,0	monster	"--ja--"	21070,1,0,0,0

/*
//----------------- 測試魔物範圍
bago_01,40,43,0,0	monster	"--ja--"	2409,1,0,0,0
bago_01,41,43,0,0	monster	"--ja--"	2409,1,0,0,0
bago_01,42,43,0,0	monster	"--ja--"	2409,1,0,0,0
bago_01,43,43,0,0	monster	"--ja--"	2409,1,0,0,0
bago_01,44,43,0,0	monster	"--ja--"	2409,1,0,0,0
bago_01,45,43,0,0	monster	"--ja--"	2409,1,0,0,0
bago_01,46,43,0,0	monster	"--ja--"	2409,1,0,0,0

bago_01,40,42,0,0	monster	"--ja--"	2409,1,0,0,0
bago_01,41,42,0,0	monster	"--ja--"	2409,1,0,0,0
bago_01,42,42,0,0	monster	"--ja--"	2409,1,0,0,0
bago_01,43,42,0,0	monster	"--ja--"	2409,1,0,0,0
bago_01,44,42,0,0	monster	"--ja--"	2409,1,0,0,0
bago_01,45,42,0,0	monster	"--ja--"	2409,1,0,0,0
bago_01,46,42,0,0	monster	"--ja--"	2409,1,0,0,0

bago_01,40,41,0,0	monster	"--ja--"	2409,1,0,0,0
bago_01,41,41,0,0	monster	"--ja--"	2409,1,0,0,0
bago_01,42,41,0,0	monster	"--ja--"	2409,1,0,0,0
bago_01,43,41,0,0	monster	"--ja--"	2409,1,0,0,0
bago_01,44,41,0,0	monster	"--ja--"	2409,1,0,0,0
bago_01,45,41,0,0	monster	"--ja--"	2409,1,0,0,0
bago_01,46,41,0,0	monster	"--ja--"	2409,1,0,0,0

bago_01,40,40,0,0	monster	"--ja--"	2409,1,0,0,0
bago_01,41,40,0,0	monster	"--ja--"	2409,1,0,0,0
bago_01,42,40,0,0	monster	"--ja--"	2409,1,0,0,0
bago_01,43,40,0,0	monster	"--ja--"	2409,1,0,0,0
bago_01,44,40,0,0	monster	"--ja--"	2409,1,0,0,0
bago_01,45,40,0,0	monster	"--ja--"	2409,1,0,0,0
bago_01,46,40,0,0	monster	"--ja--"	2409,1,0,0,0

bago_01,40,39,0,0	monster	"--ja--"	2409,1,0,0,0
bago_01,41,39,0,0	monster	"--ja--"	2409,1,0,0,0
bago_01,42,39,0,0	monster	"--ja--"	2409,1,0,0,0
bago_01,43,39,0,0	monster	"--ja--"	2409,1,0,0,0
bago_01,44,39,0,0	monster	"--ja--"	2409,1,0,0,0
bago_01,45,39,0,0	monster	"--ja--"	2409,1,0,0,0
bago_01,46,39,0,0	monster	"--ja--"	2409,1,0,0,0

bago_01,40,38,0,0	monster	"--ja--"	2409,1,0,0,0
bago_01,41,38,0,0	monster	"--ja--"	2409,1,0,0,0
bago_01,42,38,0,0	monster	"--ja--"	2409,1,0,0,0
bago_01,43,38,0,0	monster	"--ja--"	2409,1,0,0,0
bago_01,44,38,0,0	monster	"--ja--"	2409,1,0,0,0
bago_01,45,38,0,0	monster	"--ja--"	2409,1,0,0,0
bago_01,46,38,0,0	monster	"--ja--"	2409,1,0,0,0
*/

